fold,audio_file,begin_time,end_time,label,score,actual,pred,error_type
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,42.0,44.0,NOISE,0.28214717919913174,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,48.0,50.0,HARU_C1,0.19452864554946908,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,48.0,50.0,HARU_C2,0.23867241911970713,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,54.0,56.0,HARU_C1,0.025418098539116373,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,54.0,56.0,NOISE,0.7583234288245774,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,56.0,58.0,HARU_C1,0.15601407018153818,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,56.0,58.0,THAR_B2,0.03344621613567748,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,56.0,58.0,MYME_C1,0.041336948354864726,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL1_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,0.0,2.0,THAR_B2,0.6028262727621345,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL1_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,0.0,2.0,MYME_C1,0.6058470029024277,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL1_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,0.0,2.0,THAR_P2,0.8295788133839684,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL1_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,2.0,4.0,THAR_B2,0.4314051388627462,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL1_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,12.0,14.0,MYME_C1,0.06718127918469874,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL1_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,14.0,16.0,MYME_C1,0.48739556864000483,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL1_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,14.0,16.0,NOISE,0.6811061491283117,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL1_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,18.0,20.0,MYME_C1,0.32054676744771277,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL1_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,20.0,22.0,THAR_B1,0.8948787553352159,0,1,false_positive
