fold,audio_file,begin_time,end_time,label,probability,error_type
1,FFL-Annotations/Audio/TRIAL16_HAWK_22JUN2024_VILLAANA_MADREDEDIOS.wav,2.0,4.0,THAR_P1,0.5954361607916103,false_positive
1,FFL-Annotations/Audio/TRIAL16_HAWK_22JUN2024_VILLAANA_MADREDEDIOS.wav,22.0,24.0,THAR_P1,0.30766595312972644,false_negative
1,FFL-Annotations/Audio/TRIAL18_HAWK_23JUN2024_VILLAANA_MADREDEDIOS.wav,0.0,2.0,THAR_P1,0.8081567854498142,false_positive
1,FFL-Annotations/Audio/TRIAL18_HAWK_23JUN2024_VILLAANA_MADREDEDIOS.wav,2.0,4.0,THAR_P1,0.7880409340453901,false_positive
1,FFL-Annotations/Audio/TRIAL26_HAWK_29JUN2024_VILLAANA_MADREDEDIOS.wav,46.0,48.0,THAR_P1,0.0770067620227386,false_negative
1,FFL-Annotations/Audio/TRIAL26_HAWK_29JUN2024_VILLAANA_MADREDEDIOS.wav,48.0,50.0,THAR_P1,0.09130858314069012,false_negative
1,FFL-Annotations/Audio/TRIAL26_HAWK_29JUN2024_VILLAANA_MADREDEDIOS.wav,50.0,52.0,THAR_P1,0.11129955595195913,false_negative
1,FFL-Annotations/Audio/TRIAL26_HAWK_29JUN2024_VILLAANA_MADREDEDIOS.wav,54.0,56.0,THAR_P1,0.1260103265403243,false_negative
1,FFL-Annotations/Audio/TRIAL26_HAWK_29JUN2024_VILLAANA_MADREDEDIOS.wav,56.0,58.0,THAR_P1,0.11891616848990173,false_negative
1,FFL-Annotations/Audio/TRIAL26_HAWK_29JUN2024_VILLAANA_MADREDEDIOS.wav,58.0,60.0,THAR_P1,0.12654703960187164,false_negative
1,FFL-Annotations/Audio/TRIAL2_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,46.0,48.0,THAR_P1,0.14421075938350286,false_negative
1,FFL-Annotations/Audio/TRIAL15_HAWK_21JUN2024_VILLAANA_MADREDEDIOS.wav,14.0,16.0,MYME_C1,0.6355150632366608,false_positive
1,FFL-Annotations/Audio/TRIAL16_HAWK_22JUN2024_VILLAANA_MADREDEDIOS.wav,8.0,10.0,MYME_C1,0.04651760967776171,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,52.0,54.0,MYME_C1,0.6366178288682852,false_positive
1,FFL-Annotations/Audio/TRIAL3_HAWK_13JUN2024_VILLAANA_MADREDEDIOS.wav,0.0,2.0,MYME_C1,0.2096724913770624,false_negative
1,FFL-Annotations/Audio/TRIAL8_HAWK_16JUN2024_VILLAANA_MADREDEDIOS.wav,6.0,8.0,MYME_C1,0.694795315416582,false_positive
1,FFL-Annotations/Audio/TRIAL8_HAWK_16JUN2024_VILLAANA_MADREDEDIOS.wav,18.0,20.0,MYME_C1,0.6130844024416632,false_positive
1,FFL-Annotations/Audio/TRIAL8_HAWK_16JUN2024_VILLAANA_MADREDEDIOS.wav,28.0,30.0,MYME_C1,0.7825954998620851,false_positive
1,FFL-Annotations/Audio/TRIAL8_HAWK_16JUN2024_VILLAANA_MADREDEDIOS.wav,40.0,42.0,MYME_C1,0.7555428572412124,false_positive
